Title,Description,Actors,Genre,poster_url
Carlito's Way,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","['Al Pacino', 'Sean Penn', 'Penelope Ann Miller']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZjMxOTgzNzMtZmZlNC00YTMyLThhZDEtZjc2MTY4ZDgxNjcwXkEyXkFqcGc@._V1_FMjpg_UY2902_.jpg
Double Jeopardy,"Jailed for her Husband's murder, a woman learns he lives.","['Ashley Judd', 'Tommy Lee Jones', 'Bruce Greenwood']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BODYyYmI2NTgtMzdhMC00MGI5LThlODctOGZjNTQwZmRjYjRmXkEyXkFqcGc@._V1_FMjpg_UY1070_.jpg
Fast Forever,,"['Jason Statham', 'Dwayne Johnson', 'Jason Momoa']","['Action', 'Adventure', 'Crime']",
Michael Clayton,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action su... Read all","['George Clooney', 'Tilda Swinton', 'Tom Wilkinson']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTc0NTU5MjI2MV5BMl5BanBnXkFtZTcwMTg5NTQzMw@@._V1_FMjpg_UY2048_.jpg
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,"['Aaron Pierre', 'Don Johnson', 'AnnaSophia Robb']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZGNhNDE2YWQtODBmMC00ZjM5LTkwNWMtZjRhMWRjM2YzM2NlXkEyXkFqcGc@._V1_FMjpg_UY3811_.jpg
Holland,"A woman's picture-perfect life in quaint Holland, Michigan, crumbles when she and a friend uncover a twisted secret in their midst.","['Nicole Kidman', 'Gael García Bernal', 'Matthew Macfadyen']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYTVhZTU5YjEtNTVlZC00N2U5LTkxYjYtMWZkMjNmNGY3ZTE5XkEyXkFqcGc@._V1_FMjpg_UY1002_.jpg
The Naked Gun: From the Files of Police Squad!,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,"['Leslie Nielsen', 'Priscilla Presley', 'O.J. Simpson']",['Crime'],https://m.media-amazon.com/images/M/MV5BODkzNDg3NDEtNjhlOC00ZDFkLWJmZTctMTAyMDcyZTA5M2U2XkEyXkFqcGc@._V1_FMjpg_UY963_.jpg
The Weight,"Desperate to save what is left of his family, during the height of the Great Depression a battle-scarred veteran is hired to help smuggle a fortune in gold across 100 miles of impenetrable w... Read all","['Ethan Hawke', 'Russell Crowe', 'Julia Jones']","['Action', 'Adventure', 'Crime']",https://m.media-amazon.com/images/M/MV5BN2MwM2MwNWUtMGVmZS00OGMzLTllZDItOTZmMTExNzRlNDMyXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Tuner,"A talented piano tuner's meticulous skills for tuning pianos lead him to discover an unexpected aptitude for cracking safes, turning his life upside down.","['Leo Woodall', 'Dustin Hoffman', 'Havana Rose Liu']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BOTZkOGQ5ZmYtNWNjMy00MWU4LWI4MWUtYzI0YzVmNDhkNDdkXkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
Sleepers,A reporter and a District Attorney help childhood friends who killed a sadistic guard.,"['Robert De Niro', 'Kevin Bacon', 'Brad Pitt']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZjM3ZWRhMmUtM2FkZC00ZWQ1LTllZDEtZDFlZmRkMzkxNGJmXkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
Wild Horse Nine,CIA agents Chris and Lee face a trust-testing mission from Santiago to Easter Island during 1973 in Chile.,"['Sam Rockwell', 'Parker Posey', 'Steve Buscemi']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNDJhMDAzNmQtNzhmMy00MmU3LTg5MTItNDdkODQyZmYzNmY0XkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Thelma & Louise,An Arkansas waitress and a housewife shoot a rapist and take off in a '66 Thunderbird.,"['Susan Sarandon', 'Geena Davis', 'Harvey Keitel']","['Adventure', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMDg1MGFhNDgtMmNlNi00ZWZkLWEzMzYtZTU1YWI0ODkzZDkwXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Chronicle,Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their da... Read all,"['Dane DeHaan', 'Alex Russell', 'Michael B. Jordan']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZWYzNTJiYWUtMzNlZi00ZGMwLWE3NzMtNGU1YWYzNjZmNWE0XkEyXkFqcGc@._V1_FMjpg_UY958_.jpg
Wild Things,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,"['Kevin Bacon', 'Neve Campbell', 'Matt Dillon']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZDRiYjFlNjgtNWJkMS00YjAzLTg1OTItZTkxOTFlZDA1N2U4XkEyXkFqcGc@._V1_FMjpg_UY1183_.jpg
Pusher,A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,"['Kim Bodnia', 'Zlatko Buric', 'Laura Drasbæk']",['Crime'],https://m.media-amazon.com/images/M/MV5BMzg4Mzk0YWItYWI3Ni00YTFhLWI0NmYtY2U5NmJkOGQxNTc3XkEyXkFqcGc@._V1_FMjpg_UY766_.jpg
Hannibal,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target of revenge from a powerful victim.","['Anthony Hopkins', 'Julianne Moore', 'Gary Oldman']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNjEyN2I0Y2ItMzkxYy00ODNlLTkxZGMtNWQ1NDU5OWYzODdhXkEyXkFqcGc@._V1_FMjpg_UY846_.jpg
Good Time,"After a botched robbery lands his brother in jail, a small-time criminal traverses the depraved underbelly of New York City in search of bail money.","['Robert Pattinson', 'Benny Safdie', 'Jennifer Jason Leigh']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BOWYyNDViYjEtZDA0ZS00M2I5LWIxM2UtOWViNmU0NTYzMzNjXkEyXkFqcGc@._V1_FMjpg_UY786_.jpg
Ghost in the Shell,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,"['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ôtsuka']",[],https://m.media-amazon.com/images/M/MV5BNzljMjA3MTQtMjM1OS00OGJjLWJiYzctZDRiMTk1NWI5YzQ5XkEyXkFqcGc@._V1_FMjpg_UY889_.jpg
Witness,"While protecting an Amish boy - the sole witness to a brutal murder - and his mother, a detective is forced to seek refuge within their rural community when his own life is threatened.","['Harrison Ford', 'Kelly McGillis', 'Lukas Haas']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNDcyNjU5MWMtNDZiYy00Yjc4LWE4YjItMTA5ODBlOGU1NzRhXkEyXkFqcGc@._V1_FMjpg_UY2834_.jpg
Desperado,"El Mariachi returns to a Mexican border town, confronting Bucho and his men with calculated vengeance, finding sparse allies in Carolina, a bookstore owner, as past wounds fuel escalating vi... Read all","['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMmZhNzRhYzktMmVjNS00NDIxLWEwNzQtYjdjYTVjYmU2YWY0XkEyXkFqcGc@._V1_FMjpg_UY726_.jpg
The Mastermind,"In 1970, failed architect James Blaine Mooney and cohorts wander into a museum in broad daylight and steal four paintings. When holding onto the art proves more difficult than stealing them,... Read all","[""Josh O'Connor"", 'Sterling Thompson', 'Alana Haim']",['Crime'],https://m.media-amazon.com/images/M/MV5BMDFlZDY4MzktMDdiZC00ZWFmLTk5MjctMmRiMjIxNTk1NWM3XkEyXkFqcGc@._V1_FMjpg_UY1469_.jpg
The Last Viking,A bank robber released from jail must unlock his traumatised brother's memory to recover stolen loot.,"['Mads Mikkelsen', 'Nikolaj Lie Kaas', 'Sofie Gråbøl']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTEzYmY3ZDktZDA3Yi00NzZlLTk0NTMtNTk4NmY3ZGZiMmM3XkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","['Aaron Taylor-Johnson', 'Nicolas Cage', 'Chloë Grace Moretz']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_FMjpg_UY2048_.jpg
Cure,A frustrated detective deals with the case of several gruesome murders committed by people who have no recollection of what they've done.,"['Masato Hagiwara', 'Kôji Yakusho', 'Tsuyoshi Ujiki']","['Crime', 'Horror']",https://m.media-amazon.com/images/M/MV5BNDcyMTRiMWQtMjA4MS00OTk3LTkxYmMtMjI4ODAyNGVlZTU0XkEyXkFqcGc@._V1_FMjpg_UY6038_.jpg
End of Watch,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and close friends.","['Jake Gyllenhaal', 'Michael Peña', 'Anna Kendrick']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_FMjpg_UY2048_.jpg
U.S. Marshals,"U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder.","['Tommy Lee Jones', 'Wesley Snipes', 'Robert Downey Jr.']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BMGI1ZWRkMTUtMjRhYi00ZGExLTgwM2UtOGVlNjFiZDBhNTZmXkEyXkFqcGc@._V1_FMjpg_UY768_.jpg
Chicago,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.","['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere']",['Crime'],https://m.media-amazon.com/images/M/MV5BN2JjZmMzMzMtZDM4Mi00MjM1LWI5ZjktYjRkYzczYjg3MDdlXkEyXkFqcGc@._V1_FMjpg_UY959_.jpg
Clue,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.","['Eileen Brennan', 'Tim Curry', 'Madeline Kahn']",['Crime'],https://m.media-amazon.com/images/M/MV5BMzMwZTY3ZGItYTY3Zi00YTRmLWE3Y2UtYWE1NmMwZDVjMmYxXkEyXkFqcGc@._V1_FMjpg_UY2133_.jpg
Woman of the Hour,"Sheryl Bradshaw, a single woman looking for a suitor on a hit 1970s TV show, chooses charming bachelor Rodney Alcala, unaware that, behind the man's gentle facade, he hides a deadly secret.","['Anna Kendrick', 'Daniel Zovatto', 'Tony Hale']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BY2NmYThiYzktYWEwNS00NTNmLTljZTUtMTRmNWYyMWU3NzEyXkEyXkFqcGc@._V1_FMjpg_UY3511_.jpg
Verity,"Lowen Ashleigh gets hired by Jeremy Crawford to ghostwrite novels for his bestselling author wife Verity, who's unable to finish after an accident. Lowen uncovers Verity's disturbing truths ... Read all","['Anne Hathaway', 'Brady Wagner', 'Asel Swango']","['Crime', 'Drama']",
Bad Blonde,"A scheming blonde seduces a fighter and convinces him to murder her husband, a fight manager.","['Barbara Payton', 'Frederick Valk', 'John Slater']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYjBmNGQxM2YtOGQzOS00NjQ5LTkxNTItMjMzM2IyM2NjM2ZhXkEyXkFqcGc@._V1_FMjpg_UY2754_.jpg
What Happened to Monday,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while ... Read all","['Noomi Rapace', 'Glenn Close', 'Willem Dafoe']","['Action', 'Crime', 'Sci-Fi']",https://m.media-amazon.com/images/M/MV5BNGYzZWU5MWMtNWY3NS00YjM3LTg3OGQtNDQ0NmE0MWFjMmUzXkEyXkFqcGc@._V1_FMjpg_UY1200_.jpg
Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.","['Ryan Potter', 'Scott Adsit', 'Jamie Chung']","['Action', 'Adventure', 'Crime', 'Sci-Fi']",https://m.media-amazon.com/images/M/MV5BM2JmNWI1ZGYtNWZhNS00ODM2LTg3M2QtZDNjYjc2NmNmNDc1XkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
Seven Psychopaths,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,"['Colin Farrell', 'Woody Harrelson', 'Sam Rockwell']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTgwMzUxMjc0M15BMl5BanBnXkFtZTcwMzQ2MjYyOA@@._V1_FMjpg_UY2048_.jpg
The Unbearable Weight of Massive Talent,Movie star Nick Cage must channel his iconic screen characters when he finds himself caught in-between a dangerous super-fan and a CIA agent.,"['Nicolas Cage', 'Pedro Pascal', 'Tiffany Haddish']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BMWEzMTA3MjAtOTkwYS00ZTNlLWIzYzMtMDIxNzU0NTlkMGRlXkEyXkFqcGc@._V1_FMjpg_UY4096_.jpg
American Made,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.","['Tom Cruise', 'Domhnall Gleeson', 'Sarah Wright']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTUxNzUwMjk1Nl5BMl5BanBnXkFtZTgwNDkwODI1MjI@._V1_FMjpg_UY1500_.jpg
Wicked Little Letters,"When people in Littlehampton--including conservative local, Edith--begin receiving letters full of hilarious profanities, the rowdy, Irish migrant, Rose, is charged with the crime. Suspectin... Read all","['Jessie Buckley', 'Olivia Colman', 'Timothy Spall']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZjg3OTQxYmEtZDk3OS00MzM5LWE5MDAtNWVlNjBlNjY3MzJkXkEyXkFqcGc@._V1_FMjpg_UY3000_.jpg
The Client,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.,"['Susan Sarandon', 'Tommy Lee Jones', 'Brad Renfro']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BOWVlNWQ0MTItOWU0ZC00ODllLWE3OGEtOTE3MjcxNTRlYzQ4XkEyXkFqcGc@._V1_FMjpg_UY2100_.jpg
Carolina Caroline,"A young woman joins a charming con man on the run, leaving a trail of crime and passion as they hustle through the Southeast in search of her estranged mother.","['Samara Weaving', 'Kyle Gallner', 'Kyra Sedgwick']",['Crime'],https://m.media-amazon.com/images/M/MV5BZDYxMWYwYzAtOWFkMi00MWZjLTg2ODYtZTVhZjQ0ZTg1ZmJiXkEyXkFqcGc@._V1_FMjpg_UX2048_.jpg
Venom: Let There Be Carnage,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams']","['Action', 'Adventure']",https://m.media-amazon.com/images/M/MV5BZGIxMTU1MjItM2FmMi00YmFiLTgwNDMtMTczYmVjYTBhNGZhXkEyXkFqcGc@._V1_FMjpg_UY1024_.jpg
Deep Cover,Three improv actors are asked to go undercover by the police in London's criminal underworld.,"['Bryce Dallas Howard', 'Orlando Bloom', 'Nick Mohammed']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BNjU2Y2MyOWEtODdhYy00YTI3LWIxN2UtMjNkNmNmMDQzZjQ4XkEyXkFqcGc@._V1_FMjpg_UY5255_.jpg
Fallen,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style.","['Denzel Washington', 'John Goodman', 'Donald Sutherland']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMDZkNTY2NDUtOTg4ZC00M2RiLThkMmMtNTQ5NWRkOWIwNDZlXkEyXkFqcGc@._V1_FMjpg_UY1399_.jpg
Night Hunter,"A police Lieutenant, his police force, and a vigilante become caught up in a dangerous scheme.","['Henry Cavill', 'Ben Kingsley', 'Alexandra Daddario']","['Action', 'Adventure', 'Crime']",https://m.media-amazon.com/images/M/MV5BZGZjNWUxZWEtM2QyYS00MjdlLTgyMDEtN2E1NmM4NDRlNDE4XkEyXkFqcGc@._V1_FMjpg_UY2426_.jpg
Austin Powers: The Spy Who Shagged Me,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".","['Mike Myers', 'Heather Graham', 'Michael York']","['Action', 'Adventure', 'Crime']",https://m.media-amazon.com/images/M/MV5BYWQ5MmE3MTMtOTVjMi00YmEzLWE1MDMtMWQ3MDE1MmE3YThlXkEyXkFqcGc@._V1_FMjpg_UY1000_.jpg
The Girl Next Door,"In a quiet suburban town in the summer of 1958, two recently orphaned sisters are placed in the care of their mentally unstable Aunt Ruth. But Ruth's depraved sense of discipline will soon l... Read all","['William Atherton', 'Blythe Auffarth', 'Blanche Baker']","['Crime', 'Drama', 'Horror']",https://m.media-amazon.com/images/M/MV5BMTUwMDcyNjE1MF5BMl5BanBnXkFtZTcwOTA1Njg0MQ@@._V1_FMjpg_UY579_.jpg
The Sting,Two grifters team up to pull off the ultimate con.,"['Paul Newman', 'Robert Redford', 'Robert Shaw']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BOWVkMmY1N2EtZTA4ZS00ZWFiLWFmNDgtOGMzYmYwNDllNDFmXkEyXkFqcGc@._V1_FMjpg_UY881_.jpg
Cruella,"During the 1970s London punk rock revolution, young grifter Estella transforms herself into the raucous, revenge-bent Cruella de Vil.","['Emma Stone', 'Emma Thompson', 'Joel Fry']","['Adventure', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMzRlOGU0OGItYzJhNC00YmQ0LWE1NjQtMDQ5MDdlMTcxYTc4XkEyXkFqcGc@._V1_FMjpg_UY2500_.jpg
The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,"['Iko Uwais', 'Ananda George', 'Ray Sahetapy']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BNTdhOGI5MjEtZTM3My00MGVkLTk5MDktNGQwMjFkYzVjOTU4XkEyXkFqcGc@._V1_FMjpg_UY1527_.jpg
Nightmare Alley,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.,"['Bradley Cooper', 'Cate Blanchett', 'Toni Collette']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNThlMDUzMDEtOTY1ZC00MzI3LThlOGItYjI0MTdkZDliNDEzXkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
The Poughkeepsie Tapes,"In an abandoned house in Poughkeepsie, New York murder investigators uncover hundreds of tapes showing decades of a serial killer's work.","['Stacy Chbosky', 'Ben Messmer', 'Samantha Robson']","['Crime', 'Horror']",https://m.media-amazon.com/images/M/MV5BMTQ5OTA3NzA2N15BMl5BanBnXkFtZTcwODk2MDc0MQ@@._V1_FMjpg_UY443_.jpg
Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMjQ4ZjgwNzMtNGJmNC00YzU4LTgzOGUtOGUzYWNjNGUzOTYxXkEyXkFqcGc@._V1_FMjpg_UY1194_.jpg
Trap House,"A DEA agent and his partner pursue thieves: their own rebellious teens, who began robbing the cartel using their parents' tactics and classified intel.","['Dave Bautista', 'Jack Champion', 'Bobby Cannavale']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BYmY0OTk0ZDktMmJkNy00NjQwLWE0NjQtOTY4Y2VhODdhOTJjXkEyXkFqcGc@._V1_FMjpg_UY1778_.jpg
Decision to Leave,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,"['Tang Wei', 'Park Hae-il', 'Lee Jung-hyun']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYTVhZTFkMjMtNzhhMC00ZjM1LWIzYzEtZTZiYTVlYzUzMDFiXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Falling Down,An ordinary man reaches his breaking point and starts lashing out against the various flaws he sees in society.,"['Michael Douglas', 'Robert Duvall', 'Barbara Hershey']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZmE2MGQ4OWEtMmUzYS00ZDBhLTg4ZDAtZGRhYWNkOTAzYWQyXkEyXkFqcGc@._V1_FMjpg_UY2260_.jpg
Kingsman: The Golden Circle,"After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band togethe... Read all","['Taron Egerton', 'Colin Firth', 'Mark Strong']","['Action', 'Adventure', 'Crime']",https://m.media-amazon.com/images/M/MV5BMjQ3OTgzMzY4NF5BMl5BanBnXkFtZTgwOTc4OTQyMzI@._V1_FMjpg_UY2048_.jpg
Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,"['Woody Harrelson', 'Juliette Lewis', 'O-Lan Jones']",['Crime'],https://m.media-amazon.com/images/M/MV5BYWM0MTcwYzAtOWQ1OS00NjU1LWJkNDAtZDRmNGE5YzQyNzY3XkEyXkFqcGc@._V1_FMjpg_UY963_.jpg
Who Framed Roger Rabbit,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.","['Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy']",['Adventure'],https://m.media-amazon.com/images/M/MV5BMDc5ZGRiM2EtMWRmMC00YjViLWEwMjYtNGE5MWVlZGEzZGM0XkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
A History of Violence,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.","['Viggo Mortensen', 'Maria Bello', 'Ed Harris']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNWIxMDQ2MTUtNzQwYS00YTI4LThhZWUtMjZlNTA3NzgyZjg3XkEyXkFqcGc@._V1_FMjpg_UY601_.jpg
The Bikeriders,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must cho... Read all","['Austin Butler', 'Jodie Comer', 'Tom Hardy']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZDY3MGVjYjItN2I1OC00ZGNkLWIwOGQtNTBiNWM1NmQ5NTZlXkEyXkFqcGc@._V1_FMjpg_UY5630_.jpg
Thieves Highway,"After discovering a plot to haul stolen cattle in the middle of nowhere, a desperate and isolated lawman becomes the only thing standing in-between a group of dangerous rustlers and a clear ... Read all","['Aaron Eckhart', 'Brooke Langton', 'Lochlyn Munro']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BOWU0NGE0MWYtYjA4My00ZTRmLWFmYzQtZmJkNzRhODg1M2JjXkEyXkFqcGc@._V1_FMjpg_UY4000_.jpg
The Assassination of Jesse James by the Coward Robert Ford,"Robert Ford, who has idolized Jesse James since childhood, tries hard to join the resurgent gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.","['Brad Pitt', 'Casey Affleck', 'Sam Shepard']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTY2NDI2MTc2NV5BMl5BanBnXkFtZTcwNjA2NTQzMw@@._V1_FMjpg_UY2048_.jpg
The Family,"The Manzoni family, a notorious Mafia clan, is relocated to Normandy, France, under the Witness Protection Program, where fitting in soon becomes challenging as their old habits die hard.","['Robert De Niro', 'Michelle Pfeiffer', 'Dianna Agron']",['Crime'],https://m.media-amazon.com/images/M/MV5BMjE2MzI0MzkyNV5BMl5BanBnXkFtZTcwMjQ2MDM2OQ@@._V1_FMjpg_UY2048_.jpg
Teenage Mutant Ninja Turtles,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.","['Megan Fox', 'Will Arnett', 'William Fichtner']",[],https://m.media-amazon.com/images/M/MV5BNjUzODQ5MDY5NV5BMl5BanBnXkFtZTgwOTc1NzcyMjE@._V1_FMjpg_UY2048_.jpg
22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","['Channing Tatum', 'Jonah Hill', 'Ice Cube']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_FMjpg_UY2048_.jpg
Con Air,"Former US Army Ranger, Cameron Poe, has just been paroled for manslaughter, but must stop a group of violent and deadly criminals from escaping the country after they seize control of the pr... Read all","['Nicolas Cage', 'John Cusack', 'John Malkovich']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BYjkyYzkwNTktYjE5OC00MjQ1LThlZjMtZTNhYzJlZDkxNDBlXkEyXkFqcGc@._V1_FMjpg_UY963_.jpg
Under the Silver Lake,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he... Read all","['Andrew Garfield', 'Riley Keough', 'Topher Grace']",['Crime'],https://m.media-amazon.com/images/M/MV5BMzNlNDJkZDItYzBhMS00YzNiLTk2MDUtMjE5MzRkYTg5Y2M2XkEyXkFqcGc@._V1_FMjpg_UY3508_.jpg
Four Lions,"Four incompetent British terrorists from Sheffield, set out to train for and commit an act of terror.","['Will Adamsdale', 'Riz Ahmed', 'Adeel Akhtar']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMjIxMzIzMjU0N15BMl5BanBnXkFtZTcwNjc0MzIwNA@@._V1_FMjpg_UY1728_.jpg
Funny Games,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.","['Susanne Lothar', 'Ulrich Mühe', 'Arno Frisch']","['Crime', 'Drama', 'Horror']",https://m.media-amazon.com/images/M/MV5BNGFkNjM1OGEtNDBlZS00OTc2LWFmZjYtODQyN2U5MDBhMzQ3XkEyXkFqcGc@._V1_FMjpg_UY1921_.jpg
BlacKkKlansman,"In this story inspired by true events, Ron Stallworth, an African-American Colorado police officer, successfully infiltrates the local branch of the Ku Klux Klan with the help of a white Jew... Read all","['Alec Baldwin', 'John David Washington', 'Isiah Whitlock Jr.']",['Crime'],https://m.media-amazon.com/images/M/MV5BMjYwYzRkZGUtZmM3ZC00YjcyLThkOTctMzFkMTU0NTRiYmU2XkEyXkFqcGc@._V1_FMjpg_UY4096_.jpg
Dredd,"In a violent, futuristic metropolis, a law enforcement and his rookie trainee become caught up in a high-stakes drug war.","['Karl Urban', 'Olivia Thirlby', 'Lena Headey']","['Action', 'Crime', 'Sci-Fi']",https://m.media-amazon.com/images/M/MV5BZGYxZjVhMzMtYzhjMC00M2Q0LWFhYzUtNTVmMTM4Yzg2M2E5XkEyXkFqcGc@._V1_FMjpg_UY1600_.jpg
